	ArticleNo	RawParagraph	Prediction
2214	45.0	ες)	Irrelevant
2215	45.0	"δ. Τη δημοσίευση της ιστοσελίδας της ΣΜΥ στο διαδίκτυο (Internet), σε συνεργασία με το γραφείο έρευνας 
πληροφορικής της σχολής."	Org
2216	45.0	"ε. Την τήρηση πλήρη στοιχείων όλων των πολιτικών, 
εκκλησιαστικών και στρατιωτικών αρχών, οργανισμών, 
συλλόγων και ρυθμίζει όλα τα θέματα εθιμοτυπίας."	Org
2217	45.0	"στ. Τη συνεργασία με άλλα εκπαιδευτικά ιδρύματα 
και χειρίζεται θέματα επιμορφωτικών και ενημερωτικών 
διαλέξεων και επιμορφωτικών επισκέψεων σε γυμνάσια 
και λύκεια, σε συνεργασία με το γραφείο επιχειρήσεων 
ασφαλείας της σχολής."	Org
2218	45.0	ζ. Θέματα που έχουν σχέση με την κοινωνική προσφορά των ΕΔ.	Org
2219	45.0	"3. Κατά την ενάσκηση των καθηκόντων του, βοηθείται 
από ένα (1) μόνιμο υπαξιωματικό (οιουδήποτε όπλ"	Org
2220	45.0	"ου) και 
ένα (1) μόνιμο υπάλληλο."	Irrelevant
2221	46.0	"Αξιωματικός Εορτών Τελετών
1. Καθήκοντα αξιωματικού εορτών τελετών, ανατίθενται σε κατώτερο αξιωματικό (οιουδήποτε όπλ"	Irrelevant
2222	46.0	ου)	Irrelevant
2223	46.0	2. Ευθύνεται για την:	Org
2224	46.0	α. Οργάνωση όλων των εορτών και τελετών στη σχολή, σύμφωνα με τις ισχύουσες διατάξεις.	RespA
2225	46.0	"β. Ψυχαγωγία των σπουδαστών της σχολής και τη 
συμμετοχή των:"	RespA
2226	46.0	(1) Σε κινηματογραφικές θεατρικές παραστάσεις.	Irrelevant
2227	46.0	(2) Στην οργάνωση και υλοποίηση ψυχαγωγικών εκδηλώσεων, χοροεσπερίδων.	Irrelevant
2228	46.0	"3. Κατά την ενάσκηση των καθηκόντων του, βοηθείται 
από μόνιμο υπαξιωματικό (οιουδήποτε όπλ"	Org
2229	46.0	ου)	Irrelevant
2230	47.0	"Διευθυντής
1. Καθήκοντα διευθυντού ΓΕΠ, ανατίθενται σε ανώτερο 
αξιωματικό (έρευνας πληροφορικής)."	Irrelevant
2231	47.0	"2. Αποστολή του είναι η υποστήριξη της σχολής με 
προγράμματα και μελέτες, καθώς και η υποβολή εισηγήσεων για τη λήψη αποφάσεων ή διορθωτικών ενεργειών, 
στους παρακάτω τομείς:"	RespA
2232	47.0	"α. Σχεδίαση, εγκατάσταση, λειτουργία και συντήρηση 
των διοικητικών συστημάτων πληροφορικής (υλικού και 
μηχανογραφικών εφαρμογών)."	RespA
2233	47.0	"β. Σχεδίαση και διεξαγωγή της εκπαιδεύσεως στην 
πληροφορική, σπουδαστών και στελεχών."	RespA
2234	47.0	"γ. Σύνταξη μελετών για την παρακολούθηση κρίσιμων 
στατιστικών μεγεθών."	RespA
2235	47.0	"δ. Λειτουργία και συντήρηση της ιστοσελίδας της 
σχολής."	RespA
2236	47.0	"3. Είναι σύμβουλος του διοικητού της σχολής για θέματα πληροφορικής, του διευθυντή σπουδών για θέματα 
εκπαιδεύσεως ηλεκτρονικών υπολογιστών και διευθύνει, κατευθύνει και συντονίζει άμεσα, για την ορθή και 
έγκαιρη εκτέλεση των καθηκόντων, τους παρακάτω 
αξιωματικούς:"	RespA
2237	47.0	α. Συστημάτων Πληροφορικής.	Org
2238	47.0	β. Επιχειρησιακής Έρευνας – Στατιστικής.	Org
2239	47.0	γ. Εκπαίδευσης – Προσομοίωσης – Πολεμικών Παιγνίων.	Org
2240	48.0	"Αξιωματικός Συστημάτων Πληροφορικής
1. Καθήκοντα αξιωματικού συστημάτων πληροφορικής, 
ανατίθενται σε κατώτερο αξιωματικό (έρευνας πληροφορικής)."	Org
2241	48.0	"2. Είναι υπεύθυνος για την σωστή και αδιάλειπτη λειτουργία των διοικητικών συστημάτων πληροφορικής 
(υλικού και μηχανογραφικών εφαρμογών) της σχολής 
και ειδικότερα:"	Irrelevant
2242	48.0	"α. Σχεδιάζει και αναπτύσσει μηχανογραφικές εφαρμογές, όπου κρίνεται αναγκαίο, για κάλυψη αναγκών των 
γραφείων της σχολής."	Org
2243	48.0	"β. Υποβάλλει αιτήσεις για βελτίωση μηχανογραφικών 
εφαρμογών, που έχουν αναπτυχθεί από τη διεύθυνση 
έρευνας πληροφορικής του ΓΕΣ."	Org
2244	48.0	γ. Είναι υπεύθυνος για:	Org
2245	48.0	"(1) Την εγκατάσταση των ηλεκτρονικών υπολογιστών 
και εκμετάλλευση των νέων ή εγκεκριμένων εφαρμογών 
ή λογισμικού που προέρχονται από τη διεύθυνση έρευνας πληροφορικής του ΓΕΣ ή το εμπόριο και την εκπαίδευση των χρηστών στη σωστή λειτουργία τους."	Irrelevant
2246	48.0	"(2) Τη συντήρηση του εξοπλισμού πληροφορικής των 
μονάδων και υπηρεσιών του στρατού ξηράς, στο νομό 
Τρικάλων."	Irrelevant
2247	48.0	"(3) Την ασφάλεια των ηλεκτρονικών υπολογιστών και 
των δικτύων της σχολής."	Irrelevant
2248	48.0	"δ. Επιβλέπει την ορθή εφαρμογή των κανονισμών και 
διαταγών ασφάλειας πληροφορικής απ’ όλους τους χρήστες της σχολής και εισηγείται στη διοίκηση τρόπους 
καλύτερης εφαρμογής."	Org
2249	48.0	ε. Ελέγχει την:	Org
2250	48.0	"(1) Eύρυθμη λειτουργία και σωστή εκμετάλλευση του 
υπάρχοντος εξοπλισμού πληροφορικής."	Irrelevant
2251	48.0	(2) Eφαρμογή των διαταγών τυποποίησης πληροφορικής απ’ όλους τους χρήστες.	Irrelevant
2252	48.0	"στ. Υποβάλλει ιεραρχικά αιτήσεις για ανανέωση του 
υπάρχοντος εξοπλισμού πληροφορικής, καθώς και την 
προμήθεια νέων συστημάτων, ανάλογα με τις διατιθέμενες πιστώσεις."	Org
2253	48.0	ζ. Χειρίζεται τις πιστώσεις που διατίθενται στο γραφείο έρευνας πληροφορικής από τη διεύθυνση πληροφορικής του ΓΕΣ.	Org
2254	48.0	"η. Συντάσσει και υποβάλλει για έγκριση, σύμφωνα με 
τις ισχύουσες διατάξεις, τον προϋπολογισμό έρευνας 
πληροφορικής της σχολής."	Org
2255	48.0	θ. Παρακολουθεί την υλοποίηση των σχετικών προμηθειών και έργων πληροφορικής και έρευνας.	Org
2256	48.0	"3. Κατά την ενάσκηση των καθηκόντων του βοηθείται, 
από τρεις (3) στρατεύσιμους οπλίτες (έρευνας πληροφορικής) με ειδικότητα προγραμματιστή ηλεκτρονικών 
υπολογιστών."	Org
2257	49.0	"Αξιωματικός Επιχειρησιακής Έρευνας – Στατιστικής
1. Καθήκοντα αξιωματικού επιχειρησιακής έρευνας 
– στατιστικής, ανατίθενται σε κατώτερο αξιωματικό 
(έρευνας πληροφορικής)."	Org
2258	49.0	2. Είναι υπεύθυνος για το χειρισμό των θεμάτων επιχειρησιακής έρευνας και στατιστικών μελετών και ειδικότερα:	Org
2259	49.0	α. Συντάσσει τις τοποθετήσεις των μελετών που αφορούν θέματα της σχολής.	Org
2260	49.0	"β. Υποβάλλει ανά εξάμηνο, σύμφωνα με της ισχύουσες διαταγές, τα απαραίτητα στατιστικά στοιχεία για 
εκμετάλλευσή τους από το ΓΕΣ."	Org
2261	49.0	"γ. Υποστηρίζει, με πληροφοριακά μέσα το τμήμα 
εισαγωγικών εξετάσεων εάν απαιτηθεί και μετά από 
αίτησή του."	Org
2262	49.0	"δ. Ενημερώνεται, συμμετέχοντας με ετήσια συνδρομή, 
από τα πιο έγκυρα περιοδικά πληροφορικής, εσωτερικού 
και εξωτερικού."	Org
2263	49.0	ε. Ευθύνεται για την τήρηση του αρχείου και της αλληλογραφίας του γραφείου.	Org
2264	49.0	"στ. Επεξεργάζεται τεχνικά τα στοιχεία των περιοδικών 
στατιστικών ερευνών, που του κοινοποιούνται από τους 
αρμόδιους φορείς της σχολής. Συμμετέχει στη στατιστική ανάλυση των αριθμητικών μεγεθών, με σχόλια επί 
των διαφαινομένων τάσεων."	Org
2265	49.0	"3. Κατά την ενάσκηση των καθηκόντων του, βοηθείται 
από μόνιμο υπαξιωματικό (έρευνας πληροφορικής)."	Org
2266	50.0	"Αξιωματικός Εκπαίδευσης – Προσομοίωσης –
Πολεμικών Παιγνίων
1. Καθήκοντα αξιωματικού εκπαίδευσης προσομοίωσης – πολεμικών παιγνίων, ανατίθενται σε κατώτερο 
αξιωματικό (έρευνας πληροφορικής)."	Org
2267	50.0	"2. Είναι υπεύθυνος για την οργάνωση, παρακολούθηση και υποστήριξη της εκπαίδευσης στα αντικείμενα 
πληροφορικής και ειδικότερα:"	Org
2268	50.0	"α. Προβαίνει σε ενημερώσεις και εκπαιδεύσεις του 
προσωπικού, σε θέματα εξέλιξης της πληροφορικής."	Org
2269	50.0	"β. Συνεργάζεται με ανώτατα – ανώτερα εκπαιδευτικά ιδρύματα, για θέματα στρατιωτικού ενδιαφέροντος, 
πληροφορικής, επιχειρησιακής έρευνας και διοίκησης 
επιχειρήσεων, με έμφαση στους τομείς των αμυντικών 
ερευνών και ενημερώνει ανάλογα τα στελέχη της σχολής."	Org
2270	50.0	γ. Ενημερώνει τους σπουδαστές σε θέματα ερευνητικών προγραμμάτων.	Org
2271	50.0	δ. Εισηγείται για:	Org
2272	50.0	"(1) Τη σχεδίαση και προγραμματισμό της εκπαίδευσης 
των σπουδαστών της σχολής σε αντικείμενα επιχειρησιακής έρευνας και πληροφορικής."	RespA
2273	50.0	"(2) Την αγορά σύγχρονων βιβλίων, πληροφορικής για 
τους σπουδαστές, στον αρμόδιο τομέα της σχολής."	RespA
2274	50.0	ε. Ευθύνεται για την:	Org
2275	50.0	"(1) Εκπαίδευση των σπουδαστών της σχολής στη χρήση μέσων τεχνολογίας, πληροφορικής, προσομοίωσης 
και πολεμικών παιγνίων και την οργάνωση, διεξαγωγή ή 
άμεση υποστήριξη διεξαγωγής σχετικών ασκήσεων."	RespA
2276	50.0	"(2) Ορθή, αδιάλειπτη και ασφαλή λειτουργία της ιστοσελίδας της σχολής στο διαδίκτυο, καθώς και για τη 
συντήρηση και ενημέρωσή της."	RespA
2277	50.0	"στ. Αλληλογραφεί απευθείας με το ΓΕΣ για θέματα 
πληροφορικής επιχειρησιακής έρευνας και εκπαίδευσης."	Org
2278	50.0	"ζ. Προμηθεύεται την απαραίτητη βιβλιογραφία πληροφορικής και επιχειρησιακής έρευνας, για την ενημέρωση 
και εκπαίδευση των στελεχών του γραφείου και των 
καθηγητών πληροφορικής της σχολής."	Org
2279	51.0	"Γενικά
1. Τα τάγματα σπουδαστών είναι οργανικές μονάδες 
της σχολής, μη οικονομικά ανεξάρτητες."	Org
2280	51.0	"2. Οι αξιωματικοί των ταγμάτων σπουδαστών καθορίζονται από τον αντίστοιχο πίνακα οργάνωσης και 
υλικού και είναι:"	Org
2281	51.0	"α. Οι διοικητές ταγμάτων σπουδαστών του όπλου του 
πεζικού."	Org
2282	51.0	β. Λοιποί αξιωματικοί (οιουδήποτε όπλ	Org
2283	51.0	ου)	Irrelevant
2284	51.0	"3. Τα τάγματα σπουδαστών δε διαθέτουν οργανικά 
μέσα διοικητικής μέριμνας, οι δε ανάγκες τους από 
πλευράς διοικητικής μέριμνας, καλύπτονται από τη διεύθυνση προσωπικού και διοικητικής μέριμνας της σχολής 
και το λόχο διοικήσεως."	Org
2285	51.0	"4. Τα καθήκοντα, οι αρμοδιότητες και η διεξαγωγή 
της υπηρεσίας των ταγμάτων σπουδαστών εκτελείται 
σύμφωνα με:"	Org
2286	51.0	"α. Τους ισχύοντες γενικούς κανονισμούς ΣΚ 20−1 και 
ΣΚ 20−2."	Org
2287	51.0	β. Τον παρόντα οργανισμό.	Org
2288	51.0	γ. Τον πίνακα οργάνωσης και υλικού της σχολής.	Org
2289	51.0	δ. Τις διαταγές του ΓΕΣ και της σχολής.	Org
2290	52.0	"Αποστολή Ταγμάτων Σπουδαστών
Η αποστολή των ταγμάτων σπουδαστών, σύμφωνα 
και με το άρθρο 1 του παρόντος οργανισμού, είναι να 
προπαρασκευάζουν ηθικά και στρατιωτικά τους σπουδαστές τους ως μελλοντικούς υπαξιωματικούς και να 
τους εκπαιδεύουν κατάλληλα σε συνεργασία με τη διεύθυνση σπουδών, παρέχοντας στο Στρατό Ξηράς (ΣΞ) 
ηγήτορες, ικανούς να ανταποκριθούν στις απαιτήσεις 
του σύγχρονου Ελληνικού Στρατού, να εργάζονται και 
επιχειρούν σ΄ ένα διακλαδικό, ευρωπαϊκό και διεθνές 
στρατιωτικό περιβάλλον."	Org
2291	53.0	"Διοικητική Οργάνωση
1. H συγκρότηση των ταγμάτων σπουδαστών καθορίζεται από τον αντίστοιχο πίνακα οργάνωσης και 
υλικού της σχολής, με δυνατότητα τροποποίησής της, 
κατόπιν αιτήσεως της σχολής και εγκρίσεως του ΓΕΣ, 
σε περιπτώσεις σημαντικών αναγκών που επιβάλουν 
διαφοροποιήσεις οργανώσεως."	Org
2292	53.0	"2. Τα τάγματα σπουδαστών συγκροτούνται κατ’ αναλογία από σπουδαστές όλων των ετών, για την εσωτερική υπηρεσία, το στρατωνισμό, κατανομή στα εστιατόρια 
και τις γενικές προσκλήσεις."	Org
2293	53.0	"3. Το διοικητικό προσωπικό τοποθετείται, σύμφωνα 
με τις ανάγκες λειτουργίας αυτών και με τον ισχύοντα 
πίνακα οργάνωσης και υλικού."	Org
2294	53.0	"4. Οι σπουδαστές εντάσσονται σε τάγματα, λόχους, 
διμοιρίες και ομάδες, σύμφωνα με τον πίνακα οργάνωσης και υλικού και τις διαταγές της σχολής."	Org
2295	54.0	"Βαθμοφόροι Εκπαιδευομένων
1. Καθήκοντα υπαξιωματικών βαθμοφόρων ανατίθενται 
στους σπουδαστές της τελευταίας τάξης, κατά σειρά αρχαιότητας με την ημερήσια διαταγή της σχολής, 
όπως παρακάτω:"	Org
2296	54.0	α. Ένας αρχηγός της σχολής αρχιλοχίας.	Irrelevant
2297	54.0	β. Ένας επιλοχίας κατά διοικητικό λόχο.	Irrelevant
2298	54.0	γ. Ένας λοχίας κατά διμοιρία, ο οποίος εκτελεί καθήκοντα βοηθού διμοιρίτη.	Irrelevant
2299	54.0	θήκοντα ομαδάρχη.	Irrelevant
2300	54.0	δ. Ένας δεκανέας κατά ομάδα, ο οποίος εκτελεί καε. Όταν συγκροτούνται τμήματα (λόχοι – διμοιρίεςομάδ	Org
2301	54.0	ες), ανάλογα με το φύλλο (άρρεν – θή	Irrelevant
2302	54.0	λυ) ή την κατηγορία (διοικητικοί – τεχνικοί) των σπουδαστών, καθήκοντα βαθμοφόρων εκτελούν οι αρχαιότεροι αυτών.	Irrelevant
2303	54.0	"2. Τα φερόμενα υπό των βαθμοφόρων διακριτικά 
στολής, καθορίζονται στον αντίστοιχο κανονισμό περί 
στολών σπουδαστών της σχολής."	Org
2304	54.0	"3. Κατά την περίοδο που στη σχολή δε θα υπάρχει 
διοικούσα τάξη, καθήκοντα βαθμοφόρων σπουδαστών 
ανατίθενται με την ημερήσια διαταγή της σχολής σε 
σπουδαστές του αμέσως προηγούμενου έτους, σύμφωνα με την υφιστάμενη σειρά αρχαιότητός των και χωρίς 
να φέρουν ιδιαίτερα διακριτικά."	Org
2305	55.0	"Εκπαιδευτική Οργάνωση
1. Για την ακαδημαϊκή εκπαίδευση, οι σπουδαστές 
συγκροτούνται κατ’ έτος, με διαταγή της σχολής, σε 
τμήματα με βάση την κατεύθυνσή τους (διοικητικοί τεχνικοί) και το έτος σπουδών και αναλογικά, σύμφωνα 
με την σειρά εισόδου στη σχολή ή προαγωγή τους."	Org
2306	55.0	"2. Οι σπουδαστές, με διαταγή της σχολής για τη στρατιωτική εκπαίδευση στο πεδίο συγκροτούνται σε εκπαιδευτικά τάγματα κατά έτος σπουδών. Η συγκρότηση 
αυτή γίνεται με βάση τα τμήματα της προηγούμενης 
παραγράφου."	Irrelevant
2307	56.0	"Διοικητής Τάγματος Σπουδαστών
1. Διοικεί το τάγμα σπουδαστών, σύμφωνα με τους 
ισχύοντες κανονισμούς, τον παρόντα οργανισμό και τις 
διαταγές και οδηγίες της διοικήσεως της σχολής και 
ειδικότερα είναι υπεύθυνος για:"	Irrelevant
2308	56.0	"α. Τη στρατιωτική εκπαίδευση, πειθαρχία, στρατιωτική 
αγωγή, διαπαιδαγώγηση, άψογη παράσταση, εμφάνιση 
και συμπεριφορά των σπουδαστών, καθώς και για την 
υλοποίηση όλων των διαταγών της σχολής, που αφορούν 
οποιοδήποτε τομέα δραστηριότητος του τάγματός του."	Org
2309	56.0	"β. Τη σύμφωνη με τους στρατιωτικούς κανονισμούς 
συμπεριφορά των υπό τις διαταγές του, αξιωματικών 
και βαθμοφόρων προς κάθε κατώτερο, απαγορεύοντας 
κάθε σωματική δοκιμασία ή προσβλητική συμπεριφορά 
αξιωματικών και υπαξιωματικών προς τους σπουδαστές, 
καθώς και των σπουδαστών μεταξύ τους."	Org
2310	56.0	"γ. Την ευπρέπεια, καθαριότητα και τάξη των θαλάμων, 
των κτιρίων στρατωνισμού και λοιπών εγκαταστάσεων 
του τάγματος σπουδαστών."	Org
2311	56.0	"2. Παρακολουθεί το συσσίτιο των σπουδαστών του 
τάγματος σπουδαστών και υποβάλλει σχετικές προτάσεις βελτίωσής τους."	Org
2312	56.0	3. Καθορίζει και επιβλέπει τη διεξαγωγή της υπηρεσίας του τάγματος σπουδαστών και των λόχων.	Org
2313	56.0	"4. Ενεργεί λεπτομερή επιθεώρηση του τάγματος 
σπουδαστών, σύμφωνα με το πρόγραμμα, ελέγχει την 
κατάσταση όλων των μέσων και υλικών και υποβάλλει ανάλογη έκθεση στη σχολή. Εφόσον απαιτούνται 
επιθεωρήσεις ενεργεί αυτοβούλως, όταν κρίνει αυτό 
αναγκαίο, φροντίζει όμως να μην παρακωλύεται η εκπαίδευση των σπουδαστών."	Org
2314	56.0	"5. Δέχεται τις ημερήσιες καταστάσεις αναφορών λόχου (ΗΚΑΛ) με τη λοιπή αλληλογραφία τούτων, αμέσως 
μετά την πρωινή αναφορά και υποβάλλει αυτές με την 
υπόλοιπη αλληλογραφία του τάγματος στο τμήμα στρατιωτικού προσωπικού της διεύθυνσης προσωπικού της 
σχολής, αποφασίζοντας έπ’ αυτών."	Org
2315	56.0	6. Κατανέμει τους χώρους στρατωνισμού του τάγματος σπουδαστών στους λόχους σπουδαστών.	Org
2316	56.0	7. Συμμετέχει στη σύνταξη του γενικού και εβδομαδιαίου προγράμματος εκπαίδευσης της σχολής.	Org
2317	56.0	"8. Εισηγείται στη σχολή τη λήψη μέτρων για θέματα 
διοικητικής μέριμνας των σπουδαστών."	Org
2318	56.0	"9. Συνεργάζεται με το διοικητή του άλλου τάγματος 
σπουδαστών για την υλοποίηση των διαταγών της σχολής, προς επίτευξη απόλυτου συντονισμού ενεργειών 
και ομοιομορφίας."	Org
2319	56.0	"10. Κατά την εβδομαδιαία συγκέντρωση όλων των αξιωματικών του τάγματος σπουδαστών, σύμφωνα με το 
πρόγραμμα ωρών υπηρεσίας και εκπαίδευσης της σχολής, 
κάνει απολογισμό του εκπαιδευτικού και διοικητικού έργου 
της περασμένης εβδομάδας, αναλύει το πρόγραμμα της 
επομένης και αναθέτει έργο στους αξιωματικούς του."	Org
2320	56.0	"11. Χορηγεί τις άδειες του προσωπικού που προβλέπονται από τους ισχύοντες κανονισμούς και διαταγές 
της σχολής."	Org
2321	56.0	"12. Τηρεί το προβλεπόμενο από διαταγή της σχολής 
βιβλίο συνεντεύξεων σπουδαστών και είναι ενήμερος επί 
των προβλημάτων, αναγκών και ιδιαιτεροτήτων τούτων, 
ενημερώνοντας ανάλογα τη διοίκηση της σχολής."	Org
2322	56.0	"13. Γνωμοδοτεί επί των στρατιωτικών προσόντων των 
σπουδαστών, όπως καθορίζεται στον παρόντα οργανισμό."	Org
2323	56.0	"14. Είναι μέλος του σπουδαστικού συμβουλίου της 
σχολής."	Org
2324	56.0	"15. Το διοικητή απόντα ή κωλυόμενο, αναπληρώνει ο 
αρχαιότερος των διοικητών λόχων."	Org
2325	57.0	"Επιτελής τάγματος σπουδαστών
1. Καθήκοντα επιτελούς τάγματος σπουδαστών ανατίθενται σε έναν (1) εκ των διοικητών λόχων εκ των υπηρετούντων στο τάγμα σπουδαστών και είναι τα παρακάτω:"	Org
2326	57.0	"α. Βοηθά το διοικητή τάγματος σπουδαστών στη διεξαγωγή της υπηρεσίας και στην εσωτερική λειτουργία 
του τάγματος σπουδαστών."	Org
2327	57.0	"β. Τηρεί τα προβλεπόμενα από τους κανονισμούς και 
τις διαταγές της σχολής βιβλία, πίνακες και καταστάσεις του τάγματος σπουδαστών."	Org
2328	57.0	"γ. Τηρεί το ποινολόγιο του τάγματος σπουδαστών και 
παραδίδει καθημερινά κατάσταση τιμωρημένων σπουδαστών στον αξιωματικό επιτηρητή."	Org
2329	57.0	2. Δεν απαλλάσσεται των λοιπών καθηκόντων διοίκησης και εκπαίδευσης.	Org
2330	57.0	"3. Απόντα ή κωλυόμενο τον αναπληρώνει άλλος αξιωματικός του τάγματος σπουδαστών, κατόπιν εντολής 
του διοικητού."	Org
2331	57.0	"Βοηθός Επιτελούς Τάγματος Σπουδαστών
4. Καθήκοντα βοηθού επιτελούς τάγματος σπουδαστών, ανατίθενται σε ανθυπασπιστή (οιουδήποτε όπλ"	Irrelevant
2332	57.0	"ου), 
εκ των υπηρετούντων στο τάγμα."	Irrelevant
2333	57.0	"5. Βοηθά τον επιτελή του τάγματος σπουδαστών στην 
εκτέλεση των καθηκόντων του."	Org
2334	58.0	"Μερικός Διαχειριστής Τάγματος Σπουδαστών
1. Καθήκοντα Μερικού Διαχειριστή τάγματος σπουδαστών, ανατίθενται σε μόνιμο υπαξιωματικό (οιουδήποτε 
όπλ"	Org
2335	58.0	ου), εκ των υπηρετούντων στο τάγμα.	Irrelevant
2336	58.0	"2. Αποτελεί για το τάγμα σπουδαστών το άμεσο όργανο του διοικητή στην άσκηση του έργου της διαχείρισης των πάσης φύσεως δημόσιων υλικών, τα οποία 
χορηγούνται από τη γενική διαχείριση της σχολής για 
την εκτέλεση της αποστολής του."	Org
2337	58.0	"3. Χρεώνεται από τη γενική διαχείριση της σχολής όλα 
τα υλικά που αναγκαιούν για τη λειτουργία του τάγματος σπουδαστών και είναι δημόσιος υπόλογος, υπέχοντας αστικές ευθύνες, σύμφωνα με το ΓΚΑΔΥΕΔ)."	Org
2338	58.0	"4. Κάθε αδικαιολόγητη φθορά ή απώλεια υλικού, καταλογίζεται σε βάρος του υπεύθυνου, σύμφωνα με τις 
ισχύουσες διατάξεις."	Org
2339	58.0	"5. Τα τάγματα σπουδαστών εκτελούν περιοδικά και 
έκτακτα επιθεώρηση όλου του υλικού, καθώς και έλεγχο 
για την ύπαρξη των δημοσίων ειδών του προσωπικού 
και σύμφωνα με τα αποτελέσματα αυτών, γίνονται οι 
ανάλογες ενέργειες για την αποκατάσταση των φθορών 
ή τη συμπλήρωση των ελλείψεων."	Org
2340	59.0	"Διοικητής Λόχου Σπουδαστών (ΛΣ)
1. Διοικεί το λόχο του σύμφωνα με τον κανονισμό 
εσωτερικής υπηρεσίας των στρατευμάτων (ΣΚ 20−2), 
τον παρόντα οργανισμό της σχολής και τις διαταγές και 
οδηγίες της σχολής και του τάγματος σπουδαστών."	Org
2341	59.0	"2. Ευθύνεται για την εν γένει στρατιωτική αγωγή, την 
τάξη, πειθαρχία και την εμφάνιση των σπουδαστών 
του λόχου του, τη συντήρηση του οπλισμού, υλικών 
και εγκαταστάσεων αυτού."	Org
2342	59.0	"3. Κάθε ημέρα και σε καθορισμένη ώρα, δίνει αναφορά στο διοικητή του τάγματος σπουδαστών, περί των 
συμβάντων στο λόχο του και υποβάλλει ταυτόχρονα 
την ημερήσια κατάσταση αναφορών λόχου."	Org
2343	59.0	"4. Ευθύνεται για τη σύμφωνη με τους στρατιωτικούς 
κανονισμούς συμπεριφορά των υπό τις διαταγές των 
αξιωματικών και βαθμοφόρων προς κάθε κατώτερο, 
απαγορεύοντας κάθε σωματική δοκιμασία ή προσβλητική συμπεριφορά αξιωματικών και υπαξιωματικών προς 
σπουδαστές και σπουδαστών μεταξύ τους."	Org
2344	59.0	5. Επισκέπτεται τους νοσηλευόμενους στο αναρρωτήριο σπουδαστές του λόχου του.	Org
2345	59.0	"6. Λαμβάνει συνεντεύξεις από τους σπουδαστές του 
λόχου, τουλάχιστον μία (1) φορά ανά τρίμηνο."	Org
2346	59.0	"7. Επιβλέπει, όπως οι στολές των σπουδαστών είναι 
καθαρές και κανονικά προσαρμοσμένες."	Org
2347	59.0	"8. Κατευθύνει και καθοδηγεί τα υπ’ αυτόν στελέχη 
στην εκτέλεση των καθηκόντων τους."	Org
2348	59.0	"9. Ενεργεί κατά την κρίση του γενική επιθεώρηση των 
σπουδαστών, του υλικού, των στρατιωτικών εγκαταστάσεων και λεπτομερή επιθεώρηση τουλάχιστον μία 
(1) φορά την εβδομάδα."	Org
2349	59.0	"10. Τηρεί όλα τα προβλεπόμενα βιβλία διοικητικής και 
οικονομικής φύσεως, όπως καθορίζονται στο ΣΚ 20−2."	Org
2350	59.0	"11. Γνωμοδοτεί επί των στρατιωτικών προσόντων των 
σπουδαστών, όπως καθορίζεται στο άρθρο 102 του παρόντος οργανισμού."	Org
2351	59.0	"12. Μεριμνά για όλα τα θέματα διοικητικής μέριμνας 
του λόχου."	Org
2352	59.0	"13. Ορίζεται εκπαιδευτής αντικειμένων εκπαίδευσης, 
σύμφωνα με τις διαταγές της σχολής."	Org
2353	59.0	14. Απόντα ή κωλυόμενο τον αναπληρώνει ο αρχαιότερος διμοιρίτης.	Org
2354	60.0	"Διμοιρίτης Σπουδαστών
1. Τις διμοιρίες σπουδαστών διοικούν υπολοχαγοί και 
σε περίπτωση που δεν καλύπτονται σε ανάγκες, ανθυπολοχαγοί (οιουδήποτε όπλ"	Org
2355	60.0	ου)	Irrelevant
2356	60.0	"2. Ο διμοιρίτης είναι υπεύθυνος για την εν γένει στρατιωτική αγωγή των σπουδαστών της διμοιρίας του, την 
ΦΕΚ 2151
εκπαίδευση και την πειθαρχία, το κανονικό της στολής 
και τη συντήρηση του υλικού και των εγκαταστάσεων."	Org
2357	60.0	"3. Ευθύνεται για τη σύμφωνη με τους στρατιωτικούς 
κανονισμούς συμπεριφορά, των υπό τις διαταγές του 
βαθμοφόρων προς κάθε κατώτερο, απαγορεύοντας 
κάθε σωματική δοκιμασία ή προσβλητική συμπεριφορά 
σπουδαστών τελευταίου έτους προς τους σπουδαστές 
πρώτου (1"	Org
2358	60.0	ου) έτους.	Irrelevant
2359	60.0	"4. Ενεργεί καθημερινά επιθεώρηση στη διμοιρία του 
(προσωπικό, υλικό, εγκαταστάσε"	Org
2360	60.0	"ις) και αναφέρει κάθε 
γεγονός στο διοικητή του λόχου του."	RespA
2361	60.0	"5. Τηρεί και ενημερώνει συνεχώς το βιβλιάριο διμοιρίτη, επιδιώκοντας από την αρχή να γνωρίσει καλά όλους 
τους σπουδαστές της διμοιρίας του."	Org
2362	60.0	"6. Υποβάλλει προτάσεις βαθμολογίας των στρατιωτικών προσόντων των σπουδαστών της διμοιρίας του, 
όπως καθορίζεται στο αντίστοιχο άρθρο του παρόντος 
οργανισμού."	Org
2363	60.0	"7. Ορίζεται εκπαιδευτής αντικειμένων στρατιωτικής ή 
άλλης εκπαίδευσης πάσης φύσεως."	Org
2364	60.0	"8. Λοιπά καθήκοντα και υποχρεώσεις, όπως καθορίζονται για τους διμοιρίτες των λόχων στο ΣΚ 20−2 και τις 
διαταγές των λόχων και ταγμάτων σπουδαστών."	Org
